Game 1,Home,Score,Away,Score
,Faehrenfall Feathercats,106,Boltway Bad Dragons,114
,Pyxanovia Pixies,133,Aiyota Pumps,125
,Auspikitan Golden Falcons,132,Aahrus Moosi,135
,Height Sagua Cats,108,Key to Don Yees,114
,Red Rainbow Sickles,127,Autolik Autonomy,139
,Shmupland Dictators,128,Naxda Nomads,125
,Lyintaria Lynx,118,Bongatar Banging Bongos,109
,TND Tanks,127,Transhimalia Disasters,123
,Avura Aviators,141,Czalliso Pythons,140
,Stedro Boulders,115,Holy Yektonisa Bishops,124
Game 5,Home,Score,Away,Score
,Calto Cows,116,Barsein Bats,118
,Solea Geysers,131,Serkr Atolls,126
,Manwx Saguans,122,Kaeshar Kaisers,128
,Sagua Ocelots,108,Blanaxon Hammers,124
,Dvimne Spirits,115,Ethanthova Ponies,119
,Boltway Bad Dragons,123,Faehrenfall Feathercats,140
,Aiyota Pumps,130,Pyxanovia Pixies,121
,Aahrus Moosi,139,Auspikitan Golden Falcons,125
,Autolik Autonomy,116,Red Rainbow Sickles,113
,Naxda Nomads,111,Shmupland Dictators,120
,Bongatar Banging Bongos,137,Lyintaria Lynx,143
,Transhimalia Disasters,111,TND Tanks,114
,Czalliso Pythons,148,Avura Aviators,139
,Holy Yektonisa Bishops,100,Stedro Boulders,110
Game 6,Home,Score,Away,Score
,Barsein Bats,106,Calto Cows,125
,Serkr Atolls,126,Solea Geysers,128
,Kaeshar Kaisers,124,Manwx Saguans,126
,Blanaxon Hammers,114,Sagua Ocelots,121
,Ethanthova Ponies,115,Dvimne Spirits,117
,Faehrenfall Feathercats,119,Boltway Bad Dragons,115
,Lyintaria Lynx,140,Bongatar Banging Bongos,121
,TND Tanks,128,Transhimalia Disasters,129
,Avura Aviators,134,Czalliso Pythons,136
,Stedro Boulders,117,Holy Yektonisa Bishops,119
Game 7,Home,Score,Away,Score
,Calto Cows,128,Barsein Bats,138
,Solea Geysers,131,Serkr Atolls,138
,Manwx Saguans,114,Kaeshar Kaisers,100
,Sagua Ocelots,132,Blanaxon Hammers,123
,Boltway Bad Dragons,131,Faehrenfall Feathercats,114
,Transhimalia Disasters,122,TND Tanks,115
Game 1,Home,Score,Away,Score
,Dvimne Spirits,121,Barsein Bats,130
,Calto Cows,130,Ethanthova Ponies,121
,Dotruga Falno,139,Serkr Atolls,144
,Solea Geysers,129,Holykol Bears,133
,Boltway Bad Dragons,120,Manwx Saguans,121
,Faehrenfall Feathercats,105,Kaeshar Kaisers,120
,Sagua Ocelots,130,Aiyota Pumps,125
,Pyxanovia Pixies,132,Blanaxon Hammers,119
,Aahrus Moosi,109,Lyintaria Lynx,110
,Bongatar Banging Bongos,117,Auspikitan Golden Falcons,112
,Transhimalia Disasters,104,Key to Don Yees,103
,Height Sagua Cats,118,TND Tanks,128
,Czalliso Pythons,121,Autolik Autonomy,119
,Avura Aviators,110,Red Rainbow Sickles,127
,Holy Yektonisa Bishops,112,Shmupland Dictators,117
,Naxda Nomads,118,Stedro Boulders,122
Game 2,Home,Score,Away,Score
,Dvimne Spirits,105,Barsein Bats,121
,Calto Cows,101,Ethanthova Ponies,102
,Dotruga Falno,140,Serkr Atolls,115
,Solea Geysers,140,Holykol Bears,125
,Boltway Bad Dragons,149,Manwx Saguans,154
,Faehrenfall Feathercats,122,Kaeshar Kaisers,137
,Sagua Ocelots,110,Aiyota Pumps,121
,Pyxanovia Pixies,135,Blanaxon Hammers,132
,Aahrus Moosi,139,Lyintaria Lynx,144
,Bongatar Banging Bongos,132,Auspikitan Golden Falcons,130
,Transhimalia Disasters,124,Key to Don Yees,120
,Height Sagua Cats,114,TND Tanks,127
,Czalliso Pythons,124,Autolik Autonomy,118
,Avura Aviators,128,Red Rainbow Sickles,124
,Holy Yektonisa Bishops,117,Shmupland Dictators,104
,Naxda Nomads,103,Stedro Boulders,125
Game 3,Home,Score,Away,Score
,Barsein Bats,123,Dvimne Spirits,116
,Ethanthova Ponies,116,Calto Cows,115
,Serkr Atolls,120,Dotruga Falno,124
,Holykol Bears,109,Solea Geysers,112
,Manwx Saguans,135,Boltway Bad Dragons,118
,Kaeshar Kaisers,135,Faehrenfall Feathercats,115
,Aiyota Pumps,130,Sagua Ocelots,125
,Blanaxon Hammers,120,Pyxanovia Pixies,122
,Lyintaria Lynx,123,Aahrus Moosi,128
,Auspikitan Golden Falcons,125,Bongatar Banging Bongos,126
,Key to Don Yees,134,Transhimalia Disasters,112
,TND Tanks,124,Height Sagua Cats,126
,Autolik Autonomy,124,Czalliso Pythons,125
,Red Rainbow Sickles,109,Avura Aviators,101
,Shmupland Dictators,91,Holy Yektonisa Bishops,108
,Stedro Boulders,128,Naxda Nomads,125
Game 4,Home,Score,Away,Score
,Barsein Bats,115,Dvimne Spirits,124
,Ethanthova Ponies,126,Calto Cows,117
,Serkr Atolls,120,Dotruga Falno,115
,Holykol Bears,136,Solea Geysers,132
,Manwx Saguans,121,Boltway Bad Dragons,123
,Kaeshar Kaisers,121,Faehrenfall Feathercats,116
,Aiyota Pumps,114,Sagua Ocelots,123
,Blanaxon Hammers,118,Pyxanovia Pixies,124
,Lyintaria Lynx,117,Aahrus Moosi,121
,Auspikitan Golden Falcons,133,Bongatar Banging Bongos,123
,Key to Don Yees,118,Transhimalia Disasters,114
,TND Tanks,131,Height Sagua Cats,117
,Autolik Autonomy,135,Czalliso Pythons,117
,Red Rainbow Sickles,101,Avura Aviators,119
,Shmupland Dictators,122,Holy Yektonisa Bishops,129
,Stedro Boulders,128,Naxda Nomads,120
Game 5,Home,Score,Away,Score
,Dvimne Spirits,118,Barsein Bats,115
,Calto Cows,111,Ethanthova Ponies,124
,Dotruga Falno,123,Serkr Atolls,132
,Solea Geysers,121,Holykol Bears,120
,Boltway Bad Dragons,126,Manwx Saguans,123
,Sagua Ocelots,116,Aiyota Pumps,137
,Aahrus Moosi,121,Lyintaria Lynx,120
,Bongatar Banging Bongos,113,Auspikitan Golden Falcons,121
,Transhimalia Disasters,123,Key to Don Yees,139
,Height Sagua Cats,136,TND Tanks,120
,Czalliso Pythons,110,Autolik Autonomy,95
,Avura Aviators,113,Red Rainbow Sickles,123
,Holy Yektonisa Bishops,131,Shmupland Dictators,123
Game 6,Home,Score,Away,Score
,Barsein Bats,109,Dvimne Spirits,127
,Serkr Atolls,136,Dotruga Falno,138
,Holykol Bears,123,Solea Geysers,111
,Manwx Saguans,105,Boltway Bad Dragons,119
,Aiyota Pumps,135,Sagua Ocelots,130
,Lyintaria Lynx,131,Aahrus Moosi,136
,Auspikitan Golden Falcons,118,Bongatar Banging Bongos,119
,Key to Don Yees,131,Transhimalia Disasters,116
,TND Tanks,123,Height Sagua Cats,125
,Red Rainbow Sickles,135,Avura Aviators,132
Game 7,Home,Score,Away,Score
,Dvimne Spirits,118,Barsein Bats,115
,Dotruga Falno,110,Serkr Atolls,116
,Solea Geysers,122,Holykol Bears,119
,Boltway Bad Dragons,123,Manwx Saguans,141
,Height Sagua Cats,112,TND Tanks,119
Game 8,Home,Score,Away,Score
,Pyxanovia Pixies,130,Aahrus Moosi,126
,Transhimalia Disasters,103,Lyintaria Lynx,116
,Auspikitan Golden Falcons,117,Holykol Bears,127
,Calto Cows,127,Holy Yektonisa Bishops,132
,Height Sagua Cats,116,Dvimne Spirits,140
,Key to Don Yees,118,Czalliso Pythons,126
,Manwx Saguans,117,Bongatar Banging Bongos,128
,Sagua Ocelots,140,TND Tanks,122
,Solea Geysers,137,Stedro Boulders,144
,Autolik Autonomy,118,Faehrenfall Feathercats,120
,Barsein Bats,107,Ethanthova Ponies,111
,Blanaxon Hammers,124,Dotruga Falno,125
,Kaeshar Kaisers,119,Boltway Bad Dragons,132
,Naxda Nomads,128,Avura Aviators,131
,Red Rainbow Sickles,103,Aiyota Pumps,113
,Serkr Atolls,137,Shmupland Dictators,119
Game 9,Home,Score,Away,Score
,Red Rainbow Sickles,124,Aahrus Moosi,130
,Naxda Nomads,107,Serkr Atolls,118
,Kaeshar Kaisers,114,Shmupland Dictators,119
,Blanaxon Hammers,132,Aiyota Pumps,123
,Barsein Bats,129,Avura Aviators,124
,Autolik Autonomy,111,Boltway Bad Dragons,116
,Solea Geysers,125,Dotruga Falno,117
,Sagua Ocelots,128,Ethanthova Ponies,118
,Manwx Saguans,135,Faehrenfall Feathercats,139
,Key to Don Yees,134,Stedro Boulders,125
,Height Sagua Cats,134,TND Tanks,139
,Calto Cows,122,Bongatar Banging Bongos,130
,Auspikitan Golden Falcons,130,Czalliso Pythons,120
,Transhimalia Disasters,112,Dvimne Spirits,115
,Pyxanovia Pixies,130,Holy Yektonisa Bishops,117
,Lyintaria Lynx,125,Holykol Bears,116
Game 10,Home,Score,Away,Score
,Aahrus Moosi,128,Holy Yektonisa Bishops,110
,Holykol Bears,137,Dvimne Spirits,153
,Lyintaria Lynx,129,Czalliso Pythons,121
,Pyxanovia Pixies,106,Bongatar Banging Bongos,128
,Transhimalia Disasters,125,TND Tanks,129
,Auspikitan Golden Falcons,146,Stedro Boulders,132
,Calto Cows,136,Faehrenfall Feathercats,123
,Height Sagua Cats,126,Ethanthova Ponies,134
,Key to Don Yees,133,Dotruga Falno,136
,Manwx Saguans,127,Boltway Bad Dragons,119
,Sagua Ocelots,124,Avura Aviators,117
,Solea Geysers,123,Aiyota Pumps,130
,Autolik Autonomy,116,Shmupland Dictators,125
,Barsein Bats,126,Serkr Atolls,138
,Blanaxon Hammers,134,Red Rainbow Sickles,110
,Kaeshar Kaisers,122,Naxda Nomads,110
Game 11,Home,Score,Away,Score
,TND Tanks,132,Aahrus Moosi,118
,Stedro Boulders,136,Bongatar Banging Bongos,126
,Faehrenfall Feathercats,132,Czalliso Pythons,106
,Ethanthova Ponies,135,Dvimne Spirits,123
,Dotruga Falno,113,Holy Yektonisa Bishops,105
,Boltway Bad Dragons,125,Holykol Bears,115
,Avura Aviators,120,Lyintaria Lynx,124
,Aiyota Pumps,113,Pyxanovia Pixies,141
,Shmupland Dictators,128,Transhimalia Disasters,127
,Serkr Atolls,119,Auspikitan Golden Falcons,120
,Red Rainbow Sickles,117,Calto Cows,126
,Naxda Nomads,127,Height Sagua Cats,142
,Kaeshar Kaisers,98,Key to Don Yees,145
,Blanaxon Hammers,114,Manwx Saguans,101
,Barsein Bats,142,Sagua Ocelots,139
,Autolik Autonomy,136,Solea Geysers,117
Game 12,Home,Score,Away,Score
,Aahrus Moosi,134,Naxda Nomads,125
,Kaeshar Kaisers,113,Red Rainbow Sickles,137
,Blanaxon Hammers,109,Serkr Atolls,134
,Barsein Bats,119,Shmupland Dictators,104
,Autolik Autonomy,112,Aiyota Pumps,120
,Solea Geysers,125,Avura Aviators,123
,Sagua Ocelots,128,Boltway Bad Dragons,126
,Manwx Saguans,116,Dotruga Falno,118
,Key to Don Yees,107,Ethanthova Ponies,124
,Height Sagua Cats,146,Faehrenfall Feathercats,158
,Calto Cows,121,Stedro Boulders,132
,Auspikitan Golden Falcons,125,TND Tanks,127
,Transhimalia Disasters,122,Bongatar Banging Bongos,129
,Pyxanovia Pixies,122,Czalliso Pythons,123
,Lyintaria Lynx,118,Dvimne Spirits,133
,Holykol Bears,114,Holy Yektonisa Bishops,113
Game 13,Home,Score,Away,Score
,Ethanthova Ponies,132,Aahrus Moosi,122
,Faehrenfall Feathercats,122,Dotruga Falno,120
,Stedro Boulders,140,Boltway Bad Dragons,138
,TND Tanks,136,Avura Aviators,132
,Bongatar Banging Bongos,117,Aiyota Pumps,129
,Czalliso Pythons,111,Shmupland Dictators,114
,Dvimne Spirits,138,Serkr Atolls,134
,Holy Yektonisa Bishops,123,Red Rainbow Sickles,119
,Holykol Bears,132,Naxda Nomads,135
,Lyintaria Lynx,117,Kaeshar Kaisers,107
,Pyxanovia Pixies,127,Blanaxon Hammers,135
,Transhimalia Disasters,97,Barsein Bats,119
,Auspikitan Golden Falcons,134,Autolik Autonomy,116
,Calto Cows,134,Solea Geysers,124
,Height Sagua Cats,125,Sagua Ocelots,127
,Key to Don Yees,118,Manwx Saguans,138
Game 14,Home,Score,Away,Score
,Auspikitan Golden Falcons,119,Aahrus Moosi,116
,Transhimalia Disasters,107,Calto Cows,115
,Pyxanovia Pixies,130,Height Sagua Cats,121
,Lyintaria Lynx,133,Key to Don Yees,115
,Holykol Bears,129,Manwx Saguans,133
,Holy Yektonisa Bishops,127,Sagua Ocelots,130
,Dvimne Spirits,134,Solea Geysers,115
,Czalliso Pythons,111,Autolik Autonomy,128
,Bongatar Banging Bongos,124,Barsein Bats,111
,TND Tanks,125,Blanaxon Hammers,137
,Stedro Boulders,124,Kaeshar Kaisers,131
,Faehrenfall Feathercats,96,Naxda Nomads,103
,Ethanthova Ponies,138,Red Rainbow Sickles,119
,Dotruga Falno,122,Serkr Atolls,131
,Boltway Bad Dragons,122,Shmupland Dictators,104
,Avura Aviators,115,Aiyota Pumps,124
Game 15,Home,Score,Away,Score
,Transhimalia Disasters,114,Bongatar Banging Bongos,96
,TND Tanks,113,Czalliso Pythons,128
,Stedro Boulders,121,Dvimne Spirits,122
,Faehrenfall Feathercats,115,Holy Yektonisa Bishops,126
,Ethanthova Ponies,128,Holykol Bears,133
,Dotruga Falno,120,Lyintaria Lynx,111
,Boltway Bad Dragons,140,Pyxanovia Pixies,131
,Avura Aviators,140,Aiyota Pumps,141
,Aahrus Moosi,123,Solea Geysers,126
,Autolik Autonomy,93,Sagua Ocelots,121
,Barsein Bats,124,Manwx Saguans,120
,Blanaxon Hammers,135,Key to Don Yees,136
,Kaeshar Kaisers,137,Height Sagua Cats,135
,Naxda Nomads,129,Calto Cows,140
,Red Rainbow Sickles,112,Auspikitan Golden Falcons,113
,Serkr Atolls,113,Shmupland Dictators,108
Game 16,Home,Score,Away,Score
,Shmupland Dictators,122,Aahrus Moosi,128
,Serkr Atolls,133,Aiyota Pumps,97
,Red Rainbow Sickles,137,Avura Aviators,143
,Naxda Nomads,104,Boltway Bad Dragons,132
,Kaeshar Kaisers,126,Dotruga Falno,125
,Blanaxon Hammers,125,Ethanthova Ponies,128
,Barsein Bats,134,Faehrenfall Feathercats,121
,Autolik Autonomy,126,Stedro Boulders,122
,Solea Geysers,123,TND Tanks,117
,Sagua Ocelots,125,Bongatar Banging Bongos,128
,Manwx Saguans,132,Czalliso Pythons,120
,Key to Don Yees,97,Dvimne Spirits,124
,Height Sagua Cats,125,Holy Yektonisa Bishops,118
,Calto Cows,131,Holykol Bears,139
,Auspikitan Golden Falcons,116,Lyintaria Lynx,132
,Transhimalia Disasters,112,Pyxanovia Pixies,125
Game 17,Home,Score,Away,Score
,Aahrus Moosi,123,Solea Geysers,136
,Autolik Autonomy,129,Sagua Ocelots,123
,Barsein Bats,118,Manwx Saguans,107
,Blanaxon Hammers,151,Key to Don Yees,134
,Kaeshar Kaisers,143,Height Sagua Cats,126
,Naxda Nomads,116,Calto Cows,126
,Red Rainbow Sickles,122,Auspikitan Golden Falcons,134
,Serkr Atolls,118,Transhimalia Disasters,135
,Shmupland Dictators,110,Pyxanovia Pixies,117
,Aiyota Pumps,133,Lyintaria Lynx,124
,Avura Aviators,116,Holykol Bears,114
,Boltway Bad Dragons,121,Holy Yektonisa Bishops,118
,Dotruga Falno,130,Dvimne Spirits,139
,Ethanthova Ponies,130,Czalliso Pythons,108
,Faehrenfall Feathercats,122,Bongatar Banging Bongos,134
,Stedro Boulders,139,TND Tanks,129
Game 18,Home,Score,Away,Score
,Aahrus Moosi,121,Lyintaria Lynx,135
,Pyxanovia Pixies,124,Holykol Bears,132
,Transhimalia Disasters,125,Holy Yektonisa Bishops,124
,Auspikitan Golden Falcons,137,Dvimne Spirits,115
,Calto Cows,130,Czalliso Pythons,124
,Height Sagua Cats,122,Bongatar Banging Bongos,143
,Key to Don Yees,121,TND Tanks,123
,Manwx Saguans,129,Stedro Boulders,143
,Sagua Ocelots,132,Faehrenfall Feathercats,126
,Solea Geysers,126,Ethanthova Ponies,109
,Autolik Autonomy,117,Dotruga Falno,143
,Barsein Bats,123,Boltway Bad Dragons,130
,Blanaxon Hammers,121,Avura Aviators,134
,Kaeshar Kaisers,114,Aiyota Pumps,126
,Naxda Nomads,147,Shmupland Dictators,126
,Red Rainbow Sickles,119,Serkr Atolls,145
Game 19,Home,Score,Away,Score
,Aahrus Moosi,119,TND Tanks,129
,Bongatar Banging Bongos,126,Stedro Boulders,138
,Czalliso Pythons,122,Faehrenfall Feathercats,105
,Dvimne Spirits,119,Ethanthova Ponies,129
,Holy Yektonisa Bishops,131,Dotruga Falno,129
,Holykol Bears,101,Boltway Bad Dragons,123
,Lyintaria Lynx,125,Avura Aviators,115
,Pyxanovia Pixies,110,Aiyota Pumps,111
,Transhimalia Disasters,119,Shmupland Dictators,130
,Auspikitan Golden Falcons,129,Serkr Atolls,112
,Calto Cows,113,Red Rainbow Sickles,118
,Height Sagua Cats,111,Naxda Nomads,125
,Key to Don Yees,120,Kaeshar Kaisers,124
,Manwx Saguans,122,Blanaxon Hammers,119
,Sagua Ocelots,125,Barsein Bats,128
,Solea Geysers,123,Autolik Autonomy,133
Game 20,Home,Score,Away,Score
,Aahrus Moosi,127,Solea Geysers,120
,Auspikitan Golden Falcons,111,Sagua Ocelots,136
,Calto Cows,111,Manwx Saguans,119
,Height Sagua Cats,123,Key to Don Yees,136
,Autolik Autonomy,117,Shmupland Dictators,97
,Barsein Bats,112,Serkr Atolls,123
,Blanaxon Hammers,128,Red Rainbow Sickles,130
,Kaeshar Kaisers,135,Naxda Nomads,133
,Transhimalia Disasters,127,Bongatar Banging Bongos,126
,Pyxanovia Pixies,135,Czalliso Pythons,127
,Lyintaria Lynx,109,Dvimne Spirits,118
,Holykol Bears,133,Holy Yektonisa Bishops,137
,TND Tanks,113,Aiyota Pumps,108
,Stedro Boulders,102,Avura Aviators,107
,Faehrenfall Feathercats,112,Boltway Bad Dragons,134
,Ethanthova Ponies,116,Dotruga Falno,122
Game 21,Home,Score,Away,Score
,Transhimalia Disasters,111,Dvimne Spirits,123
,Czalliso Pythons,112,Holy Yektonisa Bishops,126
,Bongatar Banging Bongos,133,Holykol Bears,121
,TND Tanks,107,Lyintaria Lynx,110
,Stedro Boulders,112,Pyxanovia Pixies,131
,Faehrenfall Feathercats,120,Aiyota Pumps,122
,Ethanthova Ponies,111,Avura Aviators,124
,Dotruga Falno,130,Boltway Bad Dragons,109
,Aahrus Moosi,146,Manwx Saguans,131
,Sagua Ocelots,144,Key to Don Yees,139
,Solea Geysers,127,Height Sagua Cats,122
,Autolik Autonomy,121,Calto Cows,124
,Barsein Bats,124,Auspikitan Golden Falcons,120
,Blanaxon Hammers,139,Shmupland Dictators,134
,Kaeshar Kaisers,129,Serkr Atolls,145
,Naxda Nomads,137,Red Rainbow Sickles,114
Game 22,Home,Score,Away,Score
,Transhimalia Disasters,132,Pyxanovia Pixies,117
,Lyintaria Lynx,107,Aiyota Pumps,129
,Holykol Bears,131,Avura Aviators,114
,Holy Yektonisa Bishops,133,Boltway Bad Dragons,130
,Dvimne Spirits,133,Dotruga Falno,130
,Czalliso Pythons,109,Ethanthova Ponies,126
,Bongatar Banging Bongos,113,Faehrenfall Feathercats,123
,TND Tanks,122,Stedro Boulders,134
,Aahrus Moosi,122,Auspikitan Golden Falcons,111
,Calto Cows,137,Shmupland Dictators,129
,Height Sagua Cats,110,Serkr Atolls,134
,Key to Don Yees,118,Red Rainbow Sickles,125
,Manwx Saguans,138,Naxda Nomads,117
,Sagua Ocelots,132,Kaeshar Kaisers,123
,Solea Geysers,121,Blanaxon Hammers,122
,Autolik Autonomy,110,Barsein Bats,115
Game 23,Home,Score,Away,Score
,Dotruga Falno,121,Transhimalia Disasters,101
,Boltway Bad Dragons,123,Ethanthova Ponies,112
,Avura Aviators,119,Faehrenfall Feathercats,120
,Aiyota Pumps,128,Stedro Boulders,120
,Pyxanovia Pixies,123,TND Tanks,126
,Lyintaria Lynx,119,Bongatar Banging Bongos,129
,Holykol Bears,117,Czalliso Pythons,118
,Holy Yektonisa Bishops,115,Dvimne Spirits,136
,Naxda Nomads,138,Aahrus Moosi,112
,Red Rainbow Sickles,147,Kaeshar Kaisers,124
,Serkr Atolls,129,Blanaxon Hammers,139
,Shmupland Dictators,114,Barsein Bats,125
,Auspikitan Golden Falcons,142,Autolik Autonomy,131
,Calto Cows,141,Solea Geysers,133
,Height Sagua Cats,119,Sagua Ocelots,133
,Key to Don Yees,121,Manwx Saguans,122
Game 24,Home,Score,Away,Score
,Transhimalia Disasters,124,Holykol Bears,121
,Holy Yektonisa Bishops,120,Lyintaria Lynx,103
,Dvimne Spirits,125,Pyxanovia Pixies,117
,Czalliso Pythons,120,Aiyota Pumps,139
,Bongatar Banging Bongos,122,Avura Aviators,114
,TND Tanks,124,Boltway Bad Dragons,138
,Stedro Boulders,128,Dotruga Falno,122
,Faehrenfall Feathercats,116,Ethanthova Ponies,123
,Aahrus Moosi,125,Height Sagua Cats,130
,Key to Don Yees,137,Calto Cows,135
,Manwx Saguans,140,Auspikitan Golden Falcons,148
,Sagua Ocelots,124,Shmupland Dictators,119
,Solea Geysers,124,Serkr Atolls,126
,Autolik Autonomy,122,Red Rainbow Sickles,127
,Barsein Bats,128,Naxda Nomads,123
,Blanaxon Hammers,139,Kaeshar Kaisers,135
Game 25,Home,Score,Away,Score
,Height Sagua Cats,119,Aahrus Moosi,122
,Calto Cows,132,Key to Don Yees,134
,Auspikitan Golden Falcons,113,Manwx Saguans,114
,Transhimalia Disasters,147,Sagua Ocelots,148
,Pyxanovia Pixies,130,Solea Geysers,126
,Lyintaria Lynx,129,Autolik Autonomy,122
,Holykol Bears,122,Barsein Bats,118
,Holy Yektonisa Bishops,121,Blanaxon Hammers,131
,Dvimne Spirits,118,Kaeshar Kaisers,107
,Czalliso Pythons,106,Naxda Nomads,101
,Bongatar Banging Bongos,122,Red Rainbow Sickles,135
,TND Tanks,128,Serkr Atolls,124
,Stedro Boulders,115,Shmupland Dictators,117
,Faehrenfall Feathercats,115,Aiyota Pumps,120
,Ethanthova Ponies,130,Avura Aviators,134
,Dotruga Falno,124,Boltway Bad Dragons,125
Game 26,Home,Score,Away,Score
,Sagua Ocelots,122,Aahrus Moosi,109
,Solea Geysers,123,Manwx Saguans,135
,Auspikitan Golden Falcons,113,Key to Don Yees,101
,Height Sagua Cats,126,Calto Cows,125
,Serkr Atolls,131,Autolik Autonomy,117
,Shmupland Dictators,131,Red Rainbow Sickles,133
,Barsein Bats,125,Naxda Nomads,134
,Kaeshar Kaisers,152,Blanaxon Hammers,153
,Czalliso Pythons,122,Transhimalia Disasters,131
,Bongatar Banging Bongos,126,Dvimne Spirits,120
,Pyxanovia Pixies,127,Holy Yektonisa Bishops,121
,Holykol Bears,118,Lyintaria Lynx,122
,Avura Aviators,150,TND Tanks,154
,Aiyota Pumps,141,Boltway Bad Dragons,119
,Stedro Boulders,129,Dotruga Falno,135
,Ethanthova Ponies,136,Faehrenfall Feathercats,126
Game 27,Home,Score,Away,Score
,Aahrus Moosi,127,Barsein Bats,130
,Blanaxon Hammers,112,Autolik Autonomy,102
,Kaeshar Kaisers,125,Solea Geysers,120
,Naxda Nomads,113,Sagua Ocelots,107
,Red Rainbow Sickles,120,Manwx Saguans,140
,Serkr Atolls,138,Key to Don Yees,133
,Shmupland Dictators,125,Height Sagua Cats,127
,Aiyota Pumps,107,Calto Cows,115
,Avura Aviators,132,Auspikitan Golden Falcons,121
,Boltway Bad Dragons,116,Transhimalia Disasters,103
,Dotruga Falno,110,Pyxanovia Pixies,135
,Ethanthova Ponies,127,Lyintaria Lynx,124
,Faehrenfall Feathercats,127,Holykol Bears,108
,Stedro Boulders,133,Holy Yektonisa Bishops,134
,TND Tanks,125,Dvimne Spirits,116
,Bongatar Banging Bongos,124,Czalliso Pythons,116
Game 28,Home,Score,Away,Score
,Aahrus Moosi,134,Blanaxon Hammers,133
,Barsein Bats,121,Kaeshar Kaisers,116
,Autolik Autonomy,114,Naxda Nomads,115
,Solea Geysers,125,Red Rainbow Sickles,128
,Sagua Ocelots,124,Serkr Atolls,130
,Manwx Saguans,116,Shmupland Dictators,114
,Key to Don Yees,128,Aiyota Pumps,121
,Height Sagua Cats,127,Avura Aviators,111
,Calto Cows,136,Boltway Bad Dragons,131
,Auspikitan Golden Falcons,130,Dotruga Falno,124
,Transhimalia Disasters,107,Ethanthova Ponies,112
,Pyxanovia Pixies,121,Faehrenfall Feathercats,123
,Lyintaria Lynx,120,Stedro Boulders,125
,Holykol Bears,114,TND Tanks,106
,Holy Yektonisa Bishops,133,Bongatar Banging Bongos,139
,Dvimne Spirits,125,Czalliso Pythons,105
Game 29,Home,Score,Away,Score
,Auspikitan Golden Falcons,119,Aahrus Moosi,112
,Calto Cows,122,Solea Geysers,120
,Height Sagua Cats,95,Sagua Ocelots,109
,Manwx Saguans,135,Key to Don Yees,97
,Barsein Bats,125,Autolik Autonomy,128
,Blanaxon Hammers,137,Shmupland Dictators,130
,Kaeshar Kaisers,120,Serkr Atolls,124
,Red Rainbow Sickles,122,Naxda Nomads,121
,Pyxanovia Pixies,124,Transhimalia Disasters,125
,Lyintaria Lynx,114,Bongatar Banging Bongos,131
,Holykol Bears,111,Czalliso Pythons,120
,Dvimne Spirits,144,Holy Yektonisa Bishops,131
,Stedro Boulders,130,TND Tanks,136
,Faehrenfall Feathercats,123,Aiyota Pumps,129
,Ethanthova Ponies,141,Avura Aviators,120
,Boltway Bad Dragons,127,Dotruga Falno,133
Game 30,Home,Score,Away,Score
,Solea Geysers,111,Aahrus Moosi,120
,Sagua Ocelots,109,Autolik Autonomy,124
,Manwx Saguans,127,Barsein Bats,109
,Key to Don Yees,141,Blanaxon Hammers,142
,Height Sagua Cats,132,Kaeshar Kaisers,129
,Calto Cows,118,Naxda Nomads,113
,Auspikitan Golden Falcons,133,Red Rainbow Sickles,115
,Transhimalia Disasters,119,Serkr Atolls,113
,Pyxanovia Pixies,119,Shmupland Dictators,128
,Lyintaria Lynx,121,Aiyota Pumps,119
,Holykol Bears,118,Avura Aviators,130
,Holy Yektonisa Bishops,122,Boltway Bad Dragons,129
,Dvimne Spirits,143,Dotruga Falno,136
,Czalliso Pythons,110,Ethanthova Ponies,127
,Bongatar Banging Bongos,123,Faehrenfall Feathercats,126
,TND Tanks,120,Stedro Boulders,133
Game 31,Home,Score,Away,Score
,Aahrus Moosi,112,Aiyota Pumps,100
,Shmupland Dictators,121,Avura Aviators,115
,Serkr Atolls,120,Boltway Bad Dragons,130
,Red Rainbow Sickles,107,Dotruga Falno,121
,Naxda Nomads,106,Ethanthova Ponies,118
,Kaeshar Kaisers,111,Faehrenfall Feathercats,117
,Blanaxon Hammers,133,Stedro Boulders,126
,Barsein Bats,127,TND Tanks,110
,Autolik Autonomy,123,Bongatar Banging Bongos,126
,Solea Geysers,141,Czalliso Pythons,103
,Sagua Ocelots,97,Dvimne Spirits,116
,Manwx Saguans,134,Holy Yektonisa Bishops,121
,Key to Don Yees,119,Holykol Bears,116
,Height Sagua Cats,116,Lyintaria Lynx,127
,Calto Cows,140,Pyxanovia Pixies,132
,Auspikitan Golden Falcons,129,Transhimalia Disasters,128
Game 32,Home,Score,Away,Score
,Sagua Ocelots,147,Aahrus Moosi,139
,Solea Geysers,142,Manwx Saguans,133
,Autolik Autonomy,110,Key to Don Yees,123
,Barsein Bats,125,Height Sagua Cats,114
,Blanaxon Hammers,123,Calto Cows,129
,Kaeshar Kaisers,119,Auspikitan Golden Falcons,118
,Naxda Nomads,115,Transhimalia Disasters,125
,Red Rainbow Sickles,131,Pyxanovia Pixies,115
,Serkr Atolls,137,Lyintaria Lynx,124
,Shmupland Dictators,124,Holykol Bears,132
,Aiyota Pumps,132,Holy Yektonisa Bishops,130
,Avura Aviators,133,Dvimne Spirits,125
